"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"B1";"18650_BATTERY";"18650_BATTERY";"18650_BATTERY_HOLDER";"";"";"";"";"";"";"";
"B2";"18650_BATTERY";"18650_BATTERY";"18650_BATTERY_HOLDER";"";"";"";"";"";"";"";
"B3";"18650_BATTERY";"18650_BATTERY";"18650_BATTERY_HOLDER";"";"";"";"";"";"";"";
"B4";"18650_BATTERY";"18650_BATTERY";"18650_BATTERY_HOLDER";"";"";"";"";"";"";"";
"B5";"18650_BATTERY";"18650_BATTERY";"18650_BATTERY_HOLDER";"";"";"";"";"";"";"";
"C1";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"";"CC0603KRX7R8BB105";"";"";"";"1uf";
"F1";"72V/0.25A";"PPTC_PTH";"PTH";"Resettable Fuse PPTC";"";"";"";"";"RES-08490";"72V/0.25A";
"F2";"6V/0.75A";"PPTC_THREE-QUARTER-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"RES-11150";"6V/0.75A";
"F3";"72V/0.25A";"PPTC_PTH";"PTH";"Resettable Fuse PPTC";"";"";"";"";"RES-08490";"72V/0.25A";
"F4";"6V/0.75A";"PPTC_THREE-QUARTER-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"RES-11150";"6V/0.75A";
"F5";"72V/0.25A";"PPTC_PTH";"PTH";"Resettable Fuse PPTC";"";"";"";"";"RES-08490";"72V/0.25A";
"F6";"6V/0.75A";"PPTC_THREE-QUARTER-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"RES-11150";"6V/0.75A";
"F7";"72V/0.25A";"PPTC_PTH";"PTH";"Resettable Fuse PPTC";"";"";"";"";"RES-08490";"72V/0.25A";
"F8";"6V/0.75A";"PPTC_THREE-QUARTER-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"RES-11150";"6V/0.75A";
"F9";"72V/0.25A";"PPTC_PTH";"PTH";"Resettable Fuse PPTC";"";"";"";"";"RES-08490";"72V/0.25A";
"F10";"6V/0.75A";"PPTC_THREE-QUARTER-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"RES-11150";"6V/0.75A";
"J2";"";"CONN_023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08399";"";
"Q1";"BQ2970";"BQ2970";"WSON-6";"BQ2970";"";"BQ2970";"";"";"";"";
"Q2";"CSD16406Q3";"CSD16406Q3";"CSD16406Q3";"CSD16406Q3 N-Channel NexFET™ Power MOSFET";"";"CSD16406Q3";"";"";"";"";
"Q3";"CSD16406Q3";"CSD16406Q3";"CSD16406Q3";"CSD16406Q3 N-Channel NexFET™ Power MOSFET";"";"CSD16406Q3";"";"";"";"";
"R1";"330R";"SMD-RES-330R-1%-1/10W(0603)";"R0603";"301010300";"";"RC0603FR-07330RL";"";"";"";"330R";
"R2";"2.2K";"SMD-RES-2.2K-5%-1/10W(0603)";"R0603";"301010124";"";"RC0603JR-072K2L";"";"";"";"2.2K";
"R3";"4.7M";"SMD-RES-4.7M-5%-1/10W(0603)";"R0603";"301010213";"";"RC0603JR-074M7L";"";"";"";"4.7M";
"R4";"4.7M";"SMD-RES-4.7M-5%-1/10W(0603)";"R0603";"301010213";"";"RC0603JR-074M7L";"";"";"";"4.7M";
"U$5";"USB_FTP";"USB_FTP";"1MM_FPC";"";"";"";"";"";"";"";
"U$12";"WASPMOTE_V1.5";"WASPMOTE_V1.5";"WASPMOTE_V1.5";"WaspMote v1.5";"";"";"";"";"";"";
"X1";"Batt/Sun";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";
"X3";"USB";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";
