Designator,Manufacturer Part Number,Quantity
C1,VJ0603Y473KXXAC,1
C2,VJ0603Y104KCXAC,1
C3,VJ0603Y103KXAAC,1
C4,VJ0603Y104KCXAC,1
C5,VJ0603Y104KCXAC,1
C10,VJ0603Y103KXAAC,1
C11,VJ0603Y102KXAAC,1
C12,VJ0603Y103KXAAC,1
C13,VJ0603Y102KXAAC,1
C14,VJ0603Y103KXAAC,1
C15,VJ0603Y102KXAAC,1
C16,VJ0603Y102KXAAC,1
R2,ERJ-2RKF1002X,1
R3,ERJ-3EKF1002V,1
R5,ERJ-2RKF1002X,1
R6,ERJ-2RKF1002X,1
R12,ERJ-2RKF1002X,1
R13,ERJ-2RKF4701X,1
R14,ERJ-2RKF4701X,1
R15,ERJ-2RKF1002X,1
R16,ERJ-2RKF4701X,1
R17,ERJ-2RKF4701X,1
R18,ERJ-2RKF1003X,1
U1,MLX90614ESF-BAA-000-TU,1
U2,VL53L1CXV0FY/1,1
U5,AS72652-BLGT,1
U6,AS72651-BLGT,1
U7,AS72653-BLGT,1
U8,MX25L4006EZUI-12G,1
