Designator,Manufacturer Part Number,Quantity
C1,VJ0603Y103KXAAC,1
C3,VJ0603Y104KCXAC,1
Q1,2STF2360,1
Q2,SS8050-G,1
Q3,2STF2360,1
Q4,SS8050-G,1
Q5,2STF2360,1
Q6,SS8050-G,1
Q7,2STF2360,1
Q8,SS8050-G,1
R1,ERJ-3EKF1002V,1
R2,ERJ-3EKF1001V,1
R3,ERJ-3EKF2201V,1
R4,ERJ-3EKF1002V,1
R5,ERJ-3EKF1001V,1
R6,ERJ-3EKF2201V,1
R7,ERJ-3EKF1002V,1
R8,ERJ-3EKF1001V,1
R9,ERJ-3EKF2201V,1
R10,ERJ-3EKF1002V,1
R11,ERJ-3EKF1001V,1
R12,ERJ-3EKF2201V,1
R13,ERJ-3EKF4701V,1
R14,ERJ-3EKF4701V,1
R16,ERJ-3EKF2201V,1
U3,BME280,1
